id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
0529,New Orleans,Saints,NOS,DST,NA,48,DST,average,6.843,8,0.08650000000000002,0.9567235755431139,5.46,7.5920000000000005,5,NA,NA,4.467517531493817
0529,New Orleans,Saints,NOS,DST,NA,48,DST,robust,6.735,11,0.09499999999999975,1.1564280000000016,5.46,7.5920000000000005,5,NA,NA,5.4142989930350796
0529,New Orleans,Saints,NOS,DST,NA,48,DST,weighted,6.646462124752307,11,0.010341643478295914,0.9659021451451627,5.3,7.432145348837209,5,NA,NA,4.511032338771219
0530,San Francisco,49ers,SFO,DST,NA,48,DST,average,6.1885,21,0.09499999999999975,1.112045412741764,4.489,7.0360000000000005,11,NA,NA,5.203884972686681
0530,San Francisco,49ers,SFO,DST,NA,48,DST,robust,6.1125,22,0.11874999999999947,0.8228430000000009,4.489,7.0360000000000005,11,NA,NA,3.8328012635422377
0530,San Francisco,49ers,SFO,DST,NA,48,DST,weighted,6.184259726793545,20,0.008968292615832318,1.248406563576496,4.2,7.032523255813954,11,NA,NA,5.850361434266666
0531,Baltimore,Ravens,BAL,DST,NA,48,DST,average,7.2105,6,0.20074999999999932,1.6976586818321289,5.026999999999999,8.96,4,NA,NA,7.980227000737376
0531,Baltimore,Ravens,BAL,DST,NA,48,DST,robust,7.1625,7,0.20124999999999993,1.1341889999999994,5.026999999999999,8.96,4,NA,NA,5.3088658110688804
0531,Baltimore,Ravens,BAL,DST,NA,48,DST,weighted,7.2322907316288685,7,0.3923235365819844,1.9231236389061772,4.699999999999999,8.951686046511629,4,NA,NA,9.049136926821607
0532,Houston,Texans,HOU,DST,NA,48,DST,average,6.741,10,0.06475000000000009,0.6699253689777688,5.5920000000000005,7.048,7,NA,NA,3.107831956585738
0532,Houston,Texans,HOU,DST,NA,48,DST,robust,6.665,12,0.06625000000000014,0.44477999999999973,5.5920000000000005,7.048,7,NA,NA,2.0404371701170145
0532,Houston,Texans,HOU,DST,NA,48,DST,weighted,6.629835417864396,13,0.1199432862117531,0.661785922474591,5.4,6.831848837209302,7,NA,NA,3.069243542346177
4397,Roosevelt,Nix,PIT,RB,26,4,RB,average,0.30775,151,0.044291666666666674,0.28496877021877326,0.004,0.6227999999999999,NA,94,4.2,4.247080860484364
4397,Roosevelt,Nix,PIT,RB,26,4,RB,robust,0.23275,153,0.00275000000000003,0.266868,0.004,0.6227999999999999,NA,94,4.2,4.247080860484364
4397,Roosevelt,Nix,PIT,RB,26,4,RB,weighted,0.3027035928143713,117,0.034086807810827124,0.3228567196776697,0,0.5942519756838904,NA,94,4.2,4.247080860484364
4925,Drew,Brees,NOS,QB,39,17,QB,average,18.8442,2,1.3074833333333338,1.8487767487359483,16.946500000000004,21.3718,1,1.3,0.6,4.603141786295784
4925,Drew,Brees,NOS,QB,39,17,QB,robust,18.59,2,0.8730000000000011,0.4945953600000008,16.946500000000004,21.3718,1,1.3,0.6,3.1354113556806227
4925,Drew,Brees,NOS,QB,39,17,QB,weighted,18.07780045861673,2,0.3223692901086608,1.0626526516106003,16.482000000000003,18.875693252279635,1,1.3,0.6,3.7511006423336988
5848,Tom,Brady,NEP,QB,41,18,QB,average,17.007233333333335,5,0.06827333333333385,2.2727767686246714,14.02,19.5841,2,9,3.5,7.178691082548733
5848,Tom,Brady,NEP,QB,41,18,QB,robust,16.965700000000002,7,0.13380000000000436,1.9766023200000007,14.02,19.5841,2,9,3.5,6.857682202473319
5848,Tom,Brady,NEP,QB,41,18,QB,weighted,16.67335387890993,9,0.07210611068242301,1.9860421201818366,13.629999999999999,17.79750747720365,2,9,3.5,6.86791353640026
6589,Josh,McCown,NYJ,QB,39,16,QB,average,0.3507,53,0.016189999999999982,0.2438277424740671,0.021199999999999997,0.5762399999999999,10,35.8,2.1,3.9580976918331743
6589,Josh,McCown,NYJ,QB,39,16,QB,robust,0.34500000000000003,52,0.0393,0.266868,0.021199999999999997,0.5762399999999999,10,35.8,2.1,3.9830698908172315
6589,Josh,McCown,NYJ,QB,39,16,QB,weighted,0.33733259242831215,43,0.027962160452757012,0.27465432983180504,0,0.5541857750759878,10,35.8,2.1,3.9915091097667807
6929,Carson,Palmer,FA,QB,39,15,QB,average,10.82,36,0.33999999999999986,NA,10.82,10.82,7,NA,NA,NaN
6929,Carson,Palmer,FA,QB,39,15,QB,robust,10.82,36,0.33999999999999986,0,10.82,10.82,7,NA,NA,3.418675424314606
6929,Carson,Palmer,FA,QB,39,15,QB,weighted,NA,NA,NA,NaN,10.82,10.82,7,NA,NA,NaN
7236,Antonio,Gates,LAC,TE,38,15,TE,average,4.774666666666667,16,0.149166666666666,2.6408040442259253,3.3025,8.670000000000002,3,23.4,4,3.979747218032343
7236,Antonio,Gates,LAC,TE,38,15,TE,robust,3.895,26,0.39099999999999957,0.6953393999999994,3.3025,8.670000000000002,3,23.4,4,3.979747218032343
7236,Antonio,Gates,LAC,TE,38,15,TE,weighted,3.8102696148359487,26,0.011010699001426705,0.44180051813169796,3.3100000000000005,4.277726443768997,3,23.4,4,3.979747218032343
7260,Tony,Romo,FA,QB,38,15,QB,average,16.88,8,0.24090333333333191,NA,16.88,16.88,2,NA,NA,NaN
7260,Tony,Romo,FA,QB,38,15,QB,robust,16.88,8,0.1526999999999994,0,16.88,16.88,2,NA,NA,3.418675424314606
7260,Tony,Romo,FA,QB,38,15,QB,weighted,NA,NA,NA,NaN,16.88,16.88,2,NA,NA,NaN
7391,Eli,Manning,NYG,QB,37,14,QB,average,14.080766666666666,26,0.782686666666665,0.5874716900980564,13.735199999999999,15.120000000000001,3,25.7,3.7,5.498002811565955
7391,Eli,Manning,NYG,QB,37,14,QB,robust,14.045799999999998,27,0.583599999999997,0.5799931199999993,13.735199999999999,15.120000000000001,3,25.7,3.7,5.48989715821574
7391,Eli,Manning,NYG,QB,37,14,QB,weighted,14.034285844612873,25,0.42561339540340803,0.39083100203555277,13.7136,14.566394999999998,3,25.7,3.7,5.284873666410707
7393,Larry,Fitzgerald,ARI,WR,35,14,WR,average,9.239500000000001,16,0.586566666666668,2.8108006273420867,7.0875,13.35925,6,15.8,3.1,2.9882795866482734
